run_timestamp,source,status,record_count,latency_ms,is_fallback,error
20260918_155603,openstreetmap_overpass,success,14,29436.9,False,
20260918_155603,google_places,skipped,0,0.2,False,GOOGLE_PLACES_API_KEY is not set
20260918_155603,external_menu_csv,success,33,2.6,False,
20260918_155603,community_experience,success,0,1.1,False,
20260919_032520,kathiyawadi_seed_workbook,success,108,12.7,False,
20260919_032520,openstreetmap_overpass,success,14,2127.4,False,
20260919_032520,google_places,skipped,0,0.2,False,GOOGLE_PLACES_API_KEY is not set
20260919_032520,external_menu_csv,success,33,4.0,False,
20260919_032520,community_experience,success,0,1.8,False,
20260919_152807,kathiyawadi_seed_workbook,success,108,7.1,False,
20260919_152807,openstreetmap_overpass,success,14,2729.6,False,
20260919_152807,google_places,skipped,0,0.2,False,GOOGLE_PLACES_API_KEY is not set
20260919_152807,external_menu_csv,success,33,2.6,False,
20260919_152807,community_experience,success,0,1.1,False,
20260920_034220,kathiyawadi_seed_workbook,success,108,12.4,False,
20260920_034220,openstreetmap_overpass,success,14,4366.0,False,
20260920_034220,google_places,skipped,0,0.2,False,GOOGLE_PLACES_API_KEY is not set
20260920_034220,external_menu_csv,success,33,3.9,False,
20260920_034220,community_experience,success,0,1.7,False,
20260920_153304,kathiyawadi_seed_workbook,success,108,10.1,False,
20260920_153304,openstreetmap_overpass,failed,0,250263.1,False,"HTTPSConnectionPool(host='overpass.private.coffee', port=443): Read timed out. (read timeout=35)"
20260920_153304,google_places,skipped,0,0.1,False,GOOGLE_PLACES_API_KEY is not set
20260920_153304,external_menu_csv,success,33,3.4,False,
20260920_153304,community_experience,success,0,1.6,False,
20260921_033732,kathiyawadi_seed_workbook,success,108,12.2,False,
20260921_033732,openstreetmap_overpass,success,14,13034.2,False,
20260921_033732,google_places,skipped,0,0.1,False,GOOGLE_PLACES_API_KEY is not set
20260921_033732,external_menu_csv,success,33,3.8,False,
20260921_033732,community_experience,success,0,1.7,False,
20260921_175548,kathiyawadi_seed_workbook,success,108,9.8,False,
20260921_175548,openstreetmap_overpass,failed,0,248778.5,False,"HTTPSConnectionPool(host='overpass.private.coffee', port=443): Read timed out. (read timeout=35)"
20260921_175548,google_places,skipped,0,0.0,False,GOOGLE_PLACES_API_KEY is not set
20260921_175548,external_menu_csv,success,33,3.3,False,
20260921_175548,community_experience,success,0,1.5,False,
20260922_033600,kathiyawadi_seed_workbook,success,108,12.6,False,
20260922_033600,openstreetmap_overpass,success,14,3468.5,False,
20260922_033600,google_places,skipped,0,0.1,False,GOOGLE_PLACES_API_KEY is not set
20260922_033600,external_menu_csv,success,33,4.0,False,
20260922_033600,community_experience,success,0,1.8,False,
20260922_162333,kathiyawadi_seed_workbook,success,108,12.5,False,
20260922_162333,openstreetmap_overpass,success,14,2334.7,False,
20260922_162333,google_places,skipped,0,0.1,False,GOOGLE_PLACES_API_KEY is not set
20260922_162333,external_menu_csv,success,33,3.9,False,
20260922_162333,community_experience,success,0,1.7,False,
20260923_033547,kathiyawadi_seed_workbook,success,108,12.5,False,
20260923_033547,openstreetmap_overpass,success,14,12633.1,False,
20260923_033547,google_places,skipped,0,0.1,False,GOOGLE_PLACES_API_KEY is not set
20260923_033547,external_menu_csv,success,33,3.9,False,
20260923_033547,community_experience,success,0,1.7,False,
