Menu_Price_ID,Restaurant_ID,Product_ID,Price,Portion_Size,Serving_Unit,Dish_rating,Menu_Type,Source_URL,Price_Date
MP039,R007,P042,210,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25
MP040,R007,P029,45,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25
MP041,R007,P006,65,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25
MP042,R008,P011,240,1,Serving,4.1,Delivery,https://www.swiggy.com/city/ahmedabad/kathyawadi-chatako-vastrapur-rest570833,2026-08-25
MP043,R009,P030,186,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP044,R009,P028,186,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP045,R009,P031,31,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP046,R009,P032,47,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP047,R009,P033,31,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP048,R009,P034,54,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP049,R009,P035,109,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP050,R009,P004,171,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,2026-08-25
MP051,R010,P022,500,1,Serving,2.4,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP052,R010,P037,500,1,Serving,3.5,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP053,R010,P021,500,1,Serving,4.1,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP054,R010,P038,420,1,Serving,4.3,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP055,R010,P014,400,1,Serving,3.9,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP056,R010,P027,501,1,Serving,3.8,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP057,R010,P004,500,1,Serving,5.0,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP058,R010,P025,520,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,2026-08-25
MP059,R011,P011,139,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,2026-08-25
MP060,R011,P036,139,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,2026-08-25
MP061,R011,P004,139,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,2026-08-25
MP062,R011,P040,95,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,2026-08-25
MP063,R011,P028,169,1,Plate,4.4,Delivery,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,2026-08-25
MP064,R011,P023,169,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/special-kathiyawadi-vastrapur-rest1319021,2026-08-25
MP065,R005,P017,120,1,Serving,2.0,Delivery,Order from Sorath Suddh Kathiyawadi Restaurant online in Ahmedabad | Swiggy,2026-08-25 00:00:00
MP066,R005,P011,120,1,Serving,5.0,Delivery,https://www.swiggy.com/city/ahmedabad/sorath-suddh-kathiyawadi-restaurant-gota-jagatpur-rest157685,2026-08-25 00:00:00
MP067,R012,P025,120,200,Gm,,Delivery,Khodal Kathiyawadi Gota in Ahmedabad near me - Justdial,2026-08-25 00:00:00
MP068,R012,P011,120,200,Gm,,Delivery,Khodal Kathiyawadi Gota in Ahmedabad near me - Justdial,2026-08-25 00:00:00
MP069,R012,P039,140,200,Gm,,Delivery,Khodal Kathiyawadi Gota in Ahmedabad near me - Justdial,2026-08-25 00:00:00
MP070,R013,P016,90,1,Serving,,Delivery,https://www.zomato.com/ahmedabad/shree-varudi-khodiyar-gota,2026-08-25 00:00:00
